City_ID,City,County,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Guilin,CN,25.2819,110.2864,89.71,61,97,9.62,overcast clouds
107,Kloulklubed,PW,7.0419,134.2556,86.5,71,100,8.43,overcast clouds
108,Anzhero-Sudzhensk,RU,56.081,86.0285,64.06,43,61,5.97,broken clouds
109,Cabo San Lucas,MX,22.8909,-109.9124,86.05,71,39,9.53,scattered clouds
110,Bud,US,39.447,-86.1758,71.91,81,5,6.29,clear sky
111,Paamiut,GL,61.994,-49.6678,41.81,62,49,2.1,scattered clouds
112,Port Elizabeth,ZA,-33.918,25.5701,50.09,93,20,4.61,few clouds
113,Filadelfia,US,39.9523,-75.1638,68.94,84,0,4.38,clear sky
114,Waipawa,NZ,-41.4122,175.5153,56.03,76,65,18.34,broken clouds
115,Xinzhou,CN,38.4092,112.7333,77.94,30,0,2.13,clear sky
116,Parabel,RU,58.6978,81.4825,61.14,46,97,2.68,overcast clouds
117,The Pas,CA,53.8251,-101.2541,62.62,63,75,6.96,broken clouds
118,Carutapera,BR,-1.195,-46.02,76.89,87,62,6.02,broken clouds
119,Aitape,PG,-3.1374,142.3475,77.36,92,100,2.71,light rain
120,Bluff,NZ,-46.6,168.3333,48.79,67,100,20.56,overcast clouds
121,Springbok,ZA,-29.6643,17.8865,40.66,67,0,11.52,clear sky
122,Sungaipenuh,ID,-2.0833,101.3833,75.34,74,75,3.0,broken clouds
123,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,56.23,86,100,13.47,overcast clouds
124,Mahebourg,MU,-20.4081,57.7,71.26,83,75,12.66,broken clouds
125,Tiksi,RU,71.6872,128.8694,37.87,71,98,12.48,overcast clouds
126,Pirovskoye,RU,57.6267,92.2658,61.34,44,1,3.91,clear sky
127,Hermanus,ZA,-34.4187,19.2345,44.91,82,0,9.8,clear sky
128,Biak,ID,-0.9131,122.8766,82.27,66,99,11.79,moderate rain
129,Christchurch,NZ,-43.5333,172.6333,62.8,42,20,19.57,few clouds
130,Kitimat,CA,54.0524,-128.6534,57.58,76,100,1.79,light rain
131,Nioro,GM,13.35,-15.75,75.92,94,99,5.73,overcast clouds
132,Nayoro,JP,44.3506,142.4578,73.67,51,84,5.35,broken clouds
133,Revelstoke,CA,50.9832,-118.2023,57.22,77,90,2.3,overcast clouds
134,Luzhou,CN,28.8724,105.4405,85.17,53,6,1.01,clear sky
135,Cervo,ES,43.6702,-7.4101,63.19,75,9,5.23,clear sky
136,Kozmodemyansk,RU,56.3367,46.5711,43.63,89,93,9.01,moderate rain
137,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,8.05,scattered clouds
138,Birao,CF,10.2849,22.7882,69.19,98,98,4.25,moderate rain
139,Itaituba,BR,-4.2761,-55.9836,71.92,92,32,1.28,scattered clouds
140,Russell,US,32.3502,-85.1999,74.97,88,90,0.0,overcast clouds
141,Brae,GB,60.3964,-1.353,55.31,97,97,17.54,overcast clouds
142,Bogorodskoye,RU,56.55,37.8833,46.78,80,94,10.18,overcast clouds
143,Ostersund,SE,63.1792,14.6357,52.25,76,75,10.36,light rain
